DATA SET,DATE,PLAYER FULL NAME,POSITION,OWN TEAM,OPP TEAM,VENUE (R/H),MIN,FG,FGA,3P,3PA,FT,FTA,OR,DR,TOT,A,PF,ST,TO,BL,PTS
2007-2008 Regular Season,10/31/2007,Brandon Bass,PF,Dallas,Cleveland,R,16.5,1,4,0,0,4,4,0,3,3,0,3,0,1,1,6
2007-2008 Regular Season,10/31/2007,LeBron James,SG,Cleveland,Dallas,H,36.2,2,11,0,2,6,10,1,4,5,4,4,1,5,0,10
2007-2008 Regular Season,10/31/2007,Drew Gooden,PF,Cleveland,Dallas,H,39.8,5,12,0,0,2,5,4,6,10,2,4,1,2,0,12
2007-2008 Regular Season,10/31/2007,Zydrunas Ilgauskas,C,Cleveland,Dallas,H,33.4,8,14,0,0,1,2,7,11,18,0,2,0,4,0,17
2007-2008 Regular Season,10/31/2007,Larry Hughes,SG,Cleveland,Dallas,H,36.2,2,13,0,2,3,4,0,3,3,2,2,7,0,0,7
2007-2008 Regular Season,10/31/2007,Daniel Gibson,PG,Cleveland,Dallas,H,33.1,3,6,0,1,2,2,1,1,2,4,3,0,1,1,8
2007-2008 Regular Season,10/31/2007,Damon Jones,PG,Cleveland,Dallas,H,15.5,3,5,2,4,0,0,0,1,1,0,0,1,0,0,8
2007-2008 Regular Season,10/31/2007,Donyell Marshall,PF,Cleveland,Dallas,H,12.2,2,5,1,3,0,0,0,1,1,1,3,0,0,1,5
2007-2008 Regular Season,10/31/2007,Devin Brown,SG,Cleveland,Dallas,H,17.4,2,5,0,0,1,2,1,4,5,0,0,0,1,0,5
2007-2008 Regular Season,10/31/2007,Ira Newble,SF,Cleveland,Dallas,H,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-2008 Regular Season,10/31/2007,Dwayne Jones,PF,Cleveland,Dallas,H,5.5,1,1,0,0,0,0,1,0,1,0,1,0,0,0,2
2007-2008 Regular Season,10/31/2007,Shannon Brown,SG,Cleveland,Dallas,H,5.7,0,5,0,0,0,0,1,0,1,0,2,1,2,0,0
2007-2008 Regular Season,10/31/2007,Bruce Bowen,SF,San Antonio,Memphis,R,27.0,3,3,1,1,0,2,0,3,3,1,1,2,2,0,7
2007-2008 Regular Season,10/31/2007,Tim Duncan,PF,San Antonio,Memphis,R,36.1,7,15,0,0,3,6,4,5,9,0,2,1,1,3,17
2007-2008 Regular Season,10/31/2007,Fabricio Oberto,C,San Antonio,Memphis,R,15.9,2,3,0,0,0,0,0,3,3,2,1,1,0,0,4
